"INTERNATIONAL STUDENTS BY PLACE OF ORIGIN AND ACADEMIC LEVEL, 2000/01 - 2023/24","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78","...79","...80","...81","...82","...83","...84","...85","...86","...87","...88","...89","...90","...91","...92","...93","...94","...95","...96","...97","...98","...99","...100","...101","...102","...103","...104","...105","...106","...107","...108","...109","...110","...111","...112","...113","...114","...115"
NA,NA,"2000/01",NA,NA,NA,"2001/02",NA,NA,NA,"2002/03",NA,NA,NA,"2003/04",NA,NA,NA,"2004/05",NA,NA,NA,"2005/06",NA,NA,NA,"2006/07",NA,NA,NA,NA,"2007/08",NA,NA,NA,NA,"2008/09",NA,NA,NA,NA,"2009/10",NA,NA,NA,NA,"2010/11",NA,NA,NA,NA,"2011/12",NA,NA,NA,NA,"2012/13",NA,NA,NA,NA,"2013/14",NA,NA,NA,NA,"2014/15",NA,NA,NA,NA,"2015/16",NA,NA,NA,NA,"2016/17",NA,NA,NA,NA,"2017/18",NA,NA,NA,NA,"2018/19",NA,NA,NA,NA,"2019/20",NA,NA,NA,NA,"2020/21",NA,NA,NA,NA,"2021/22",NA,NA,NA,NA,"2022/23",NA,NA,NA,NA,"2023/24",NA,NA,NA
"Place of Origin",NA,"Under-graduate","Graduate","Other",NA,"Under-graduate","Graduate","Other",NA,"Under-graduate","Graduate","Other",NA,"Under-graduate","Graduate","Other",NA,"Under-graduate","Graduate","Other",NA,"Under-graduate","Graduate","Other",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT",NA,"Under-graduate","Graduate","Non-Degree","OPT"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFRICA, SUB-SAHARAN",NA,"20493","7581","1316",NA,"22805","8395","1317",NA,"24525","9708","1168",NA,"23527","9288","1127",NA,"21216","9622","1654",NA,"21209","9643","1995",NA,"20033","9286","958","2146",NA,"19388","9646","961","2025",NA,"19552","9975","1001","2180",NA,"18468","9690","1268","2695",NA,"17857","9549","1155","2909",NA,"16621","9264","1184","2977",NA,"16999","9131","1132","3323",NA,"17531","9060","1238","3284",NA,"18582","9834","1530","3647",NA,"19837","10299","1386","3842",NA,"21123","10813","1420","4379",NA,"21627","11892","1195","4765",NA,"21194","12525","1227","5344",NA,"20732","13548","1120","6297",NA,"18670","13342","938","6111",NA,"18105","16772","1121","6520",NA,"19790","21237","1631","7541",NA,"21083","25820","1052","8825"
"Africa, Sub-saharan, Unspecified",NA,"6","2","0",NA,"0","0","0",NA,"0","1","0",NA,"1","0","0",NA,"0","0","0",NA,"0","0","0",NA,"2","1","0","0",NA,"0","0","0","0",NA,"26","0","0","2",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"East Africa",NA,"7550","2702","396",NA,"8511","2981","348",NA,"8761","3394","322",NA,"7931","3163","324",NA,"6882","3290","477",NA,"6783","3224","610",NA,"6592","3041","200","681",NA,"6028","3076","206","599",NA,"6327","3215","225","644",NA,"5921","2926","236","789",NA,"5000","2785","225","853",NA,"4242","2572","199","814",NA,"4177","2483","166","935",NA,"4160","2349","172","868",NA,"4148","2377","197","838",NA,"4302","2328","187","873",NA,"4928","2300","246","1006",NA,"5245","2570","241","1037",NA,"5488","2403","210","1126",NA,"5878","2717","229","1165",NA,"5228","2677","211","1203",NA,"5416","3045","218","1478",NA,"5857","3556","219","1680",NA,"6036","4015","162","1922"
"Burundi",NA,"42","13","0",NA,"67","8","1",NA,"53","6","6",NA,"71","7","2",NA,"58","16","8",NA,"52","13","13",NA,"61","14","5","5",NA,"65","17","1","4",NA,"69","8","2","6",NA,"85","11","15","2",NA,"82","17","13","11",NA,"75","9","8","11",NA,"86","18","10","10",NA,"91","19","8","4",NA,"127","20","13","5",NA,"112","21","13","2",NA,"129","26","13","12",NA,"102","19","2","11",NA,"90","21","11","19",NA,"111","27","11","15",NA,"108","17","8","16",NA,"104","30","6","17",NA,"140","35","7","12",NA,"143","29","2","25"
"Djibouti",NA,"6","1","1",NA,"6","1","1",NA,"4","1","0",NA,"2","0","0",NA,"4","1","0",NA,"14","0","1",NA,"2","12","0","0",NA,"5","0","0","0",NA,"5","4","4","0",NA,"1","1","1","0",NA,"3","5","3","0",NA,"4","4","0","0",NA,"8","4","0","1",NA,"3","2","2","0",NA,"4","1","1","1",NA,"5","2","0","2",NA,"7","2","0","1",NA,"5","3","1","0",NA,"8","0","1","0",NA,"5","1","0","0",NA,"4","2","0","0",NA,"1","4","1","0",NA,"5","5","0","0",NA,"2","4","1","2"
"Eritrea",NA,"46","76","11",NA,"55","100","6",NA,"42","95","4",NA,"36","85","6",NA,"67","122","5",NA,"53","126","20",NA,"57","118","1","8",NA,"45","95","7","16",NA,"57","93","4","14",NA,"62","84","8","10",NA,"34","75","6","5",NA,"35","70","1","4",NA,"30","67","2","7",NA,"27","55","5","10",NA,"43","56","3","6",NA,"39","57","3","10",NA,"49","75","7","7",NA,"50","91","2","8",NA,"47","65","0","5",NA,"43","32","3","3",NA,"27","23","1","2",NA,"30","43","3","1",NA,"29","37","1","6",NA,"32","31","1","9"
